Id,rating
802553,4
802554,4
802555,4
802556,4
802557,4
802558,4
802559,4
802560,4
802561,4
802562,4
802563,4
802564,4
802565,4
802566,4
802567,4
802568,4
802569,4
802570,4
802571,4
802572,4
802573,4
802574,4
802575,4
802576,4
802577,4
802578,4
802579,4
802580,4
802581,4
802582,4
802583,4
802584,4
802585,4
802586,4
802587,4
802588,4
802589,4
802590,4
802591,4
802592,4
802593,4
802594,4
802595,4
802596,4
802597,4
802598,4
802599,4
802600,4
802601,4
802602,3
802603,3
802604,3
802605,3
802606,3
802607,3
802608,3
802609,3
802610,3
802611,3
802612,3
802613,3
802614,3
802615,3
802616,3
802617,3
802618,3
802619,3
802620,3
802621,3
802622,3
802623,3
802624,3
802625,3
802626,3
802627,3
802628,3
802629,3
802630,3
802631,3
802632,3
802633,3
802634,3
802635,3
802636,3
802637,3
802638,3
802639,3
802640,3
802641,4
802642,4
802643,4
802644,4
802645,4
802646,4
802647,4
802648,4
802649,4
802650,4
802651,4
802652,4
802653,4
802654,4
802655,4
802656,4
802657,4
802658,4
802659,4
802660,4
802661,4
802662,4
802663,4
802664,4
802665,4
802666,4
802667,4
802668,4
802669,4
802670,4
802671,4
802672,4
802673,4
802674,4
802675,4
802676,4
802677,4
802678,4
802679,4
802680,4
802681,4
802682,4
802683,4
802684,4
802685,4
802686,4
802687,4
802688,4
802689,4
802690,4
802691,4
802692,4
802693,4
802694,4
802695,4
802696,4
802697,4
802698,4
802699,4
802700,4
802701,4
802702,4
802703,4
802704,4
802705,4
802706,4
802707,4
802708,4
802709,4
802710,4
802711,4
802712,4
802713,4
802714,4
802715,4
802716,4
802717,4
802718,4
802719,4
802720,4
802721,4
802722,4
802723,4
802724,4
802725,4
802726,4
802727,4
802728,4
802729,4
802730,4
802731,4
802732,4
802733,4
802734,4
802735,4
802736,4
802737,4
802738,4
802739,4
802740,4
802741,4
802742,4
802743,4
802744,4
802745,4
802746,4
802747,4
802748,4
802749,4
802750,4
802751,4
802752,4
802753,4
802754,4
802755,4
802756,4
802757,4
802758,4
802759,4
802760,4
802761,4
802762,4
802763,4
802764,4
802765,4
802766,4
802767,4
802768,4
802769,4
802770,4
802771,4
802772,4
802773,4
802774,4
802775,4
802776,4
802777,4
802778,4
802779,4
802780,4
802781,4
802782,4
802783,4
802784,4
802785,4
802786,4
802787,4
802788,4
802789,3
802790,3
802791,3
802792,3
802793,3
802794,3
802795,3
802796,3
802797,3
802798,3
802799,3
802800,3
802801,3
802802,3
802803,3
802804,3
802805,3
802806,3
802807,3
802808,3
802809,3
802810,3
802811,3
802812,3
802813,3
802814,3
802815,3
802816,4
802817,4
802818,4
802819,4
802820,3
802821,3
802822,3
802823,3
802824,3
802825,3
802826,3
802827,3
802828,3
802829,3
802830,3
802831,3
802832,3
802833,3
802834,3
802835,3
802836,3
802837,3
802838,3
802839,3
802840,3
802841,3
802842,3
802843,3
802844,3
802845,3
802846,3
802847,3
802848,3
802849,3
802850,3
802851,3
802852,3
802853,3
802854,3
802855,3
802856,3
802857,3
802858,3
802859,3
802860,3
802861,3
802862,3
802863,3
802864,3
802865,3
802866,3
802867,3
802868,3
802869,3
802870,3
802871,3
802872,3
802873,3
802874,3
802875,3
802876,3
802877,3
802878,3
802879,3
802880,3
802881,3
802882,3
802883,3
802884,3
802885,3
802886,3
802887,3
802888,3
802889,3
802890,3
802891,3
802892,3
802893,4
802894,4
802895,4
802896,4
802897,4
802898,4
802899,4
802900,4
802901,4
802902,4
802903,4
802904,4
802905,4
802906,4
802907,4
802908,4
802909,4
802910,4
802911,4
802912,4
802913,4
802914,4
802915,4
802916,4
802917,4
802918,4
802919,4
802920,4
802921,4
802922,4
802923,4
802924,4
802925,4
802926,4
802927,4
802928,4
802929,4
802930,4
802931,4
802932,4
802933,4
802934,4
802935,4
802936,4
802937,4
802938,4
802939,4
802940,4
802941,4
802942,4
802943,4
802944,4
802945,4
802946,4
802947,4
802948,4
802949,4
802950,4
802951,4
802952,4
802953,4
802954,4
802955,4
802956,4
802957,4
802958,4
802959,4
802960,4
802961,4
802962,4
802963,4
802964,4
802965,4
802966,4
802967,4
802968,4
802969,4
802970,4
802971,4
802972,4
802973,4
802974,4
802975,4
802976,4
802977,4
802978,4
802979,4
802980,4
802981,4
802982,4
802983,4
802984,4
802985,4
802986,4
802987,4
802988,4
802989,4
802990,4
802991,4
802992,4
802993,4
802994,4
802995,4
802996,4
802997,4
802998,4
802999,4
803000,4
803001,4
803002,4
803003,4
803004,4
803005,4
803006,4
803007,4
803008,4
803009,4
803010,4
803011,4
803012,4
803013,4
803014,4
803015,4
803016,4
803017,4
803018,4
803019,4
803020,4
803021,4
803022,4
803023,4
803024,4
803025,4
803026,4
803027,4
803028,4
803029,4
803030,4
803031,4
803032,4
803033,4
803034,4
803035,4
803036,4
803037,4
803038,4
803039,4
803040,4
803041,4
803042,4
803043,4
803044,4
803045,4
803046,4
803047,4
803048,4
803049,4
803050,4
803051,3
803052,3
803053,3
803054,3
803055,3
803056,3
803057,3
803058,3
